,,,,,,
Song,Song URL,,,,,
Breaking Me Down,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1807227249&groupBy=city&annotationsVisible=true,,,,,
That Thing,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&rows=4180439&rows=5419384&rows=4887398&rows=5128581&rows=4149962&measure=plays&zoom=d&filter=song%7E1807227251&groupBy=city&annotationsVisible=true,,,,,
Althea,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1748029276&groupBy=city&annotationsVisible=true,,,,,
What Home Is,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474234&groupBy=city&annotationsVisible=true,,,,,
The Way That It Was,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474242&groupBy=city&annotationsVisible=true,,,,,
Slipping Away,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474243&groupBy=city&annotationsVisible=true,,,,,
Crash,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474239&groupBy=city&annotationsVisible=true,,,,,
Kid,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474235&groupBy=city&annotationsVisible=true,,,,,
All In,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474237&groupBy=city&annotationsVisible=true,,,,,
Easy,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474241&groupBy=city&annotationsVisible=true,,,,,
Cycles,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474233&groupBy=city&annotationsVisible=true,,,,,
Holding On,https://artists.apple.com/ui/measure/artist/ami:identity:e6a35f7117e0ed7c0939675639157300/trends?period=w%7E20250328&sortKey=total&sortOrder=desc&measure=plays&zoom=d&filter=song%7E1711474240&groupBy=city&annotationsVisible=true,,,,,
