City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,0,12,-,20231110,All In,1711474237,listeners
Denver,0,2,-,20231110,All In,1711474237,listeners
Albuquerque,0,1,-,20231110,All In,1711474237,listeners
Daytona Beach,0,1,-,20231110,All In,1711474237,listeners
Gunnison,0,1,-,20231110,All In,1711474237,listeners
Houston,0,1,-,20231110,All In,1711474237,listeners
Kingston Upon Hull,0,1,-,20231110,All In,1711474237,listeners
Las Vegas,0,1,-,20231110,All In,1711474237,listeners
Mexico City,0,1,-,20231110,All In,1711474237,listeners
New York City,0,1,-,20231110,All In,1711474237,listeners
Raleigh,0,1,-,20231110,All In,1711474237,listeners
Saint George's,0,1,-,20231110,All In,1711474237,listeners
Leesburg,0,0,-,20231110,All In,1711474237,listeners
London,0,0,-,20231110,All In,1711474237,listeners
